City,description,processed_text
Delhi City,"  The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the city with a heart. The narrow, winding lanes and bylanes of old Delhi are a testament to the former Mughal rule. Old Delhi houses one of the country's oldest and busiest market – Chandni Chowk.Take time to explore historical monuments such as the Red Fort, Jama Masjid, Humayun's Tomb and Purana Qila if you want to explore the Mughal History. Delhi has famous temples scattered all across the city, a few noteworthy ones being the Akshardham Temple, the Lotus Temple (also known as the Bahai Temple), and the ISKON Temple.Central Delhi is the concentration of the country's political power, and the must-visit places here include the Rashtrapati Bhawan on Raisina Hill, the Rajpath, and the India Gate. The best place to visit this area is in the evening, as all the buildings are lit up, and you can see the Amar Jawan Jyoti at India Gate shining brightly.People in Delhi love to eat, and tourists will find themselves spoilt for choice between the multitude of dishes on offer at every corner of every street. From kebabs and tikkas to Chhole Bhature, Delhi is a melting pot of diverse cultures, and this fact is reflected in the culinary palette of the city.Delhi is a shopper's paradise with some colourful bazaars and upscale markets. The wide variety of markets in Delhi ensure that travellers go back home with double the luggage they came with!",capital india delhi cosmopolitan city historic old delhi modern new delhi historical monuments crowd shop malls extensive network modern metro system delhi university campus dilli multiple personalities consider city heart narrow wind lanes bylanes old delhi testament former mughal rule old delhi house one country oldest busiest market chandni chowk take time explore historical monuments red fort jama masjid humayun tomb purana qila want explore mughal history delhi famous temples scatter across city noteworthy ones akshardham temple lotus temple also know bahai temple iskon temple central delhi concentration country political power must visit place include rashtrapati bhawan raisina hill rajpath india gate best place visit area even build light see amar jawan jyoti india gate shin brightly people delhi love eat tourists find spoil choice multitude dish offer every corner every street kebabs tikkas chhole bhature delhi melt pot diverse culture fact reflect culinary palette city delhi shopper paradise colourful bazaars upscale market wide variety market delhi ensure travellers go back home double luggage come
Agra,"  Located on the banks of River Yamuna in Uttar Pradesh, Agra is a popular tourist destination as it is home to one of the 7 wonders of the world, the Taj Mahal. It is a sneak peek into the architectural history and legacy of the Mughal empire with two other UNESCO World Heritage Sites Agra Fort and Fatehpur Sikri. History, architecture, romance all together create the magic of Agra, and hence, makes for a must-visit for anyone living in or visiting India. Agra is one of the most populous cities in Uttar Pradesh and 24th most populous city in India. With its long and rich history, it is no wonder that Agra forms part of the popular Golden Triangle Circuit for tourists along with Delhi and Jaipur. It is also a part of the Uttar Pradesh Heritage Arc including Varanasi and Lucknow. History fanatics and architecture buffs are sure to have a ball here with the sheer expanse of the Mughal art and culture on display. Apart from its monuments, Agra has some exciting stuff for foodies. It is as famous for its Petha (a sweet made from pumpkin and flavoured with rose water and saffron) as it is for the Taj Mahal. Agra is also well known for its marble artefacts which are best bought in the Sadar Bazaar or Kinaari Bazaar area. Agra is mostly visited on a one-day trip from New Delhi or other nearby cities in Uttar Pradesh but is totally worth it. Be prepared to be astounded, amazed, inspired and thrilled. However, be a little cautious about conmen in the guise of unofficial tour guides and fake handicrafts.",locate bank river yamuna uttar pradesh agra popular tourist destination home one 7 wonder world taj mahal sneak peek architectural history legacy mughal empire two unesco world heritage sit agra fort fatehpur sikri history architecture romance together create magic agra hence make must visit anyone live visit india agra one populous cities uttar pradesh 24th populous city india long rich history wonder agra form part popular golden triangle circuit tourists along delhi jaipur also part uttar pradesh heritage arc include varanasi lucknow history fanatics architecture buff sure ball sheer expanse mughal art culture display apart monuments agra excite stuff foodies famous petha sweet make pumpkin flavour rise water saffron taj mahal agra also well know marble artefacts best buy sadar bazaar kinaari bazaar area agra mostly visit one day trip new delhi nearby cities uttar pradesh totally worth prepare astound amaze inspire thrill however little cautious conmen guise unofficial tour guide fake handicrafts
Panjim,"  Lying on the western coast, Goa is India's smallest state and unlike any other, known for its endless beaches, stellar nightlife, eclectic seafood, world-heritage listed architecture. Spread across just 3,702 km, Goa lies in the Konkan region. It is a far cry from the hippie haven or a beach getaway, and one of the only few destinations that is open 24x7. The laid-backness (susegad) of Goa attracts as many international tourists as it does Indians, or even more so. The Goans are quite friendly towards tourists and celebrate many festivals throughout the year, the most famous being the New Year and Goa Carnival. While the seafood is excellent, Goa has one of the best nightlife in India with trendy bars, beach shacks, elegant cafes and many clubs and discotheques. Thanks to lower alcohol prices in the state, Goa is also great for younger tourists with relatively tighter pockets.For those of us perpetually confused between North Goa and South Goa, this might help - the state of Goa is divided into North Goa and South Goa. While North Goa is the nightlife hub where all the touristy beaches, flea markets, and beach shacks are located, South Goa is the land of luxurious resorts and laid-back beach vibes. Having been a Portuguese territory for almost 450 years, the Portuguese architecture is nowhere as prevalent as in Goa - visit one of the many whitewashed churches, crumbling forts or spectacular churches. The yellow houses with purple doors, ochre coloured mansions and oyester shell windows is what completes the kalieodscope of Goan architecture. Panjim, the capital city located in the centre overlooks the calm Mandovi River where the famous floating casinos of Goa are docked. The centre is well-connected with an international airport and roads and trains run from North to South part of Goa. With a coastline stretching for over 100 kilometres, Goa has stunning beaches. While Baga and Calangute are more popular among the Indian family crowd, Anjuna and Arambol draw a lot of foreign tourists. The beaches in South Goa are relatively lesser explored, but some of them like Agonda and Palolem are more beautiful.",lie western coast goa india smallest state unlike know endless beach stellar nightlife eclectic seafood world heritage list architecture spread across 3 702 km goa lie konkan region far cry hippie beach getaway one destinations open 24x7 lay backness susegad goa attract many international tourists indians even goans quite friendly towards tourists celebrate many festivals throughout year famous new year goa carnival seafood excellent goa one best nightlife india trendy bar beach shack elegant cafes many club discotheques thank lower alcohol price state goa also great younger tourists relatively tighter pocket us perpetually confuse north goa south goa might help state goa divide north goa south goa north goa nightlife hub touristy beach flea market beach shack locate south goa land luxurious resort lay back beach vibes portuguese territory almost 450 years portuguese architecture nowhere prevalent goa visit one many whitewash church crumble fort spectacular church yellow house purple doors ochre colour mansions oyester shell windows complete kalieodscope goan architecture panjim capital city locate centre overlook calm mandovi river famous float casinos goa dock centre well connect international airport roads train run north south part goa coastline stretch 100 kilometres goa stun beach baga calangute popular among indian family crowd anjuna arambol draw lot foreign tourists beach south goa relatively lesser explore like agonda palolem beautiful
Varanasi,"  World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be prepared to walk on foot and encounter some holy cows! Temples at almost every turn engulf Varanasi but the Kashi Vishwanath Temple is the most visited and the oldest of the lot. Benaras is known as the city of Lord Shiva for a reason, and rightfully so. Varanasi is considered an auspicious place to die, as it is believed to grant moksha or liberation from the cycle of life and death. Spiritually enlightening, the heart of the city pulsates around the ghats, about 80 of which border the Ganges. Be prepared for the sights, sounds and smells! Don't miss out on the hot chaat and cool lassi. Though, all chaos and noise on the ghats take a pause before dusk when the Ganga Aarti begins to take place, a ceremony of immense grandeur. This divine city is also an important destination for Buddhists. Gautam Buddha preached his first sermon in Benaras, a part which is now in Sarnath. ",world oldest live city varanasi also know kashi city life benaras spiritual capital india one hinduism seven holy cities old city varanasi lie along western bank gang spread across labyrinth narrow galis prepare walk foot encounter holy cow temples almost every turn engulf varanasi kashi vishwanath temple visit oldest lot benaras know city lord shiva reason rightfully varanasi consider auspicious place die believe grant moksha liberation cycle life death spiritually enlighten heart city pulsate around ghats 80 border gang prepare sight sound smell miss hot chaat cool lassi though chaos noise ghats take pause dusk ganga aarti begin take place ceremony immense grandeur divine city also important destination buddhists gautam buddha preach first sermon benaras part sarnath
Shimla,"  Shimla is the capital Himachal Pradesh in India and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, Shimla was the summer capital of British India. Shimla still retains its old-world charm with beautiful colonial architecture, pedestrian-friendly Mall Road and the ridge lined up with multiple shops, cafes and restaurants. The weather is pleasant for most of the months with tourists flocking especially during the summer months. The winters are cold with some days of snow from mid-December till February end. Shimla is well connected with many cities and is just 4 hours from the nearby city of Chandigarh. The city has an airport as well; however, there aren't many daily flights from here. The railway station connects Shimla with the plans and is famous for the Kalka-Shimla train route; a UNESCO listed World Heritage site.Shimla is often covered with nearby towns of Kufri, a hill-station almost always covered by snow and Chail, famous for a huge palace and the highest cricket ground in the world. Tourists also visit the famous Jakhu Temple and engage in sightseeing at various viewpoints during their trip to Shimla.",shimla capital himachal pradesh india popular hill station among indian families honeymooners situate height 2200m shimla summer capital british india shimla still retain old world charm beautiful colonial architecture pedestrian friendly mall road ridge line multiple shop cafes restaurants weather pleasant months tourists flock especially summer months winter cold days snow mid december till february end shimla well connect many cities 4 hours nearby city chandigarh city airport well however many daily flight railway station connect shimla plan famous kalka shimla train route unesco list world heritage site shimla often cover nearby towns kufri hill station almost always cover snow chail famous huge palace highest cricket grind world tourists also visit famous jakhu temple engage sightsee various viewpoints trip shimla
Haridwar,"  Haridwar, considered to be among the seven holiest cities in India, is an ancient city located on the banks of River Ganga in the Garhwal region of Uttarakhand. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of devotees come to take a dip in the holy Ganges. It's believed that taking a dip in the holy Har Ki Pauri relieves you of all your sins. Every evening, Haridwar is witness to a set of rituals for the famous Ganga Aarti at the Ghats (River Banks) where thousands of devotees come together to pray to the river. Once in every twelve years, Haridwar is host to the mega-gathering during the world famous Kumbh Mela which sees millions of visitors from all over the country. Along with Prayagraj, Nashik and Ujjain, Haridwar is one of the only four cities in India which can host the Kumbh Mela.Haridwar also acts as the base destination for some of the other tourist towns of Rishikesh and Devprayag as Hardwar is well connected by trains and roads. Apart from the religious angle, Haridwar is also now developing as a multifaceted cultural and spiritual centre. It's also known for its food and some of the must-try dishes include kachoris at Kashyap Kachoriwala and the aloo puri at Mohanji Puriwale. ",haridwar consider among seven holiest cities india ancient city locate bank river ganga garhwal region uttarakhand dot temples ashrams narrow lanes across city haridwar famous hindu temple town millions devote come take dip holy gang believe take dip holy har ki pauri relieve sin every even haridwar witness set rituals famous ganga aarti ghats river bank thousands devote come together pray river every twelve years haridwar host mega gather world famous kumbh mela see millions visitors country along prayagraj nashik ujjain haridwar one four cities india host kumbh mela haridwar also act base destination tourist towns rishikesh devprayag hardwar well connect train roads apart religious angle haridwar also develop multifaceted cultural spiritual centre also know food must try dish include kachoris kashyap kachoriwala aloo puri mohanji puriwale
Ooty,"  Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway. Dotted with tea gardens, serene waterfalls, winding country lanes, and charming colonial architecture, Ooty is the perfect respite everyone. Popular among couples and honeymooners, Ooty allures its visitors with the panoramic views of the Nilgiri mountains. The Nilgiri mountain railway is the steepest track in all of Asia. Remember the hit song 'Chaiyya Chaiyya' where Shahrukh Khan and Malaika Arora matching steps on top of a train? Remember the breathtaking locales as the train chugged its way across lush greenery? Yes, that was the Nilgiri Mountain Railways, and the Nilgiri Mountains all along.",nestle amidst nilgiri hill ooty also know udagamandalam hill station tamil nadu serve top rat tourist destination regard summer headquarter east india company queen hill picturesque getaway dot tea garden serene waterfalls wind country lanes charm colonial architecture ooty perfect respite everyone popular among couple honeymooners ooty allure visitors panoramic view nilgiri mountains nilgiri mountain railway steepest track asia remember hit song chaiyya chaiyya shahrukh khan malaika arora match step top train remember breathtaking locales train chug way across lush greenery yes nilgiri mountain railways nilgiri mountains along
Jaipur,"  Jaipur is a vibrant amalgamation of the old and the new. Also called the Pink City, the capital of the royal state of Rajasthan, was ruled by the Rajputs for many centuries and developed as a planned city in the 17th century AD. Along with Delhi and Agra, Jaipur forms the Golden Triangle and hails as one of the most famous tourist circuits of the country. With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city successfully manages to retain its old-world charm. Home to a few UNESCO World Heritage sites including Amer Fort and Jantar Mantar, Jaipur holds many magnificent forts, palaces, temples and museums and brims with bustling local bazaars where you can shop to your heart's content. Popular bazaars in the city include Bapu Bazaar, Tripolia Bazaar and Johri Bazaar. The city is also very well known for its local food and the most famous dishes include the Ghewar, Pyaaz Kachori and Dal Baati Churma.One of the largest cities in India, Jaipur is also home to all the modern amenities with some of the most exotic hotels and resorts in the world. The city boasts an international airport and is also very well connected by rail and road. The metro, local buses, shared tuk-tuks, auto-rickshaws and taxi aggregator apps including Uber and Ola solve the commute problem in the city quite comfortably. Majestic buildings, tales of heroic battles, resplendent forts and palaces, and multi-faceted characters, Jaipur has long been one of the shiniest cultural jewels in the history of the Indian subcontinent. With people known for their hospitality, Jaipur offers a plethora of options for travellers. ",jaipur vibrant amalgamation old new also call pink city capital royal state rajasthan rule rajputs many centuries develop plan city 17th century ad along delhi agra jaipur form golden triangle hail one famous tourist circuit country old city surround wall gate decorate draw backdrop beautiful pink hue jaipur pink city successfully manage retain old world charm home unesco world heritage sit include amer fort jantar mantar jaipur hold many magnificent fort palaces temples museums brim bustle local bazaars shop heart content popular bazaars city include bapu bazaar tripolia bazaar johri bazaar city also well know local food famous dish include ghewar pyaaz kachori dal baati churma one largest cities india jaipur also home modern amenities exotic hotels resort world city boast international airport also well connect rail road metro local bus share tuk tuks auto rickshaws taxi aggregator apps include uber ola solve commute problem city quite comfortably majestic build tales heroic battle resplendent fort palaces multi faceted character jaipur long one shiniest cultural jewel history indian subcontinent people know hospitality jaipur offer plethora options travellers
Tirupati,"  Situated in the Chittoor district of Andhra Pradesh, Tirupati is known for Lord Venkateshwara Temple, one of the most visited pilgrimage centres in the country. Tirumala is one of the seven hills in Tirupati, where the main temple is located. The temple is believed to be placed where Lord Venkateshwara took the form of an idol and is hence home to the diety Govinda. Tirupati is one of the oldest cities of India and finds mention in plenty of ancient Vedas and Puranas. The non-stop chanting of ‘Om Namo Venkatesaya’, the mad pilgrim rush and the 8-feet tall idol of Lord Venkateshwara – everything about the Sri Venkateshwara Temple is majestic. Spread over an area of 26 kilometres and visited by nearly 50,000 pilgrims every day, the temple is also commonly referred to as the Temple of Seven Hills.There are other temples in Tirupati too that you can visit, including the Sri Kalahasti temple, Sri Govindarajaswami Temple, the Kondandarama Temple, the Parashurameshwara Temple, and the ISKCON temple. Tirupati is home to a unique geological wonder that you shouldn’t miss out on! The Silathoranam is a natural arch formed out of rocks and is located at the Tirumala Hills. ",situate chittoor district andhra pradesh tirupati know lord venkateshwara temple one visit pilgrimage centre country tirumala one seven hill tirupati main temple locate temple believe place lord venkateshwara take form idol hence home diety govinda tirupati one oldest cities india find mention plenty ancient vedas puranas non stop chant om namo venkatesaya mad pilgrim rush 8 feet tall idol lord venkateshwara everything sri venkateshwara temple majestic spread area 26 kilometres visit nearly 50 000 pilgrims every day temple also commonly refer temple seven hill temples tirupati visit include sri kalahasti temple sri govindarajaswami temple kondandarama temple parashurameshwara temple iskcon temple tirupati home unique geological wonder miss silathoranam natural arch form rock locate tirumala hill
Andaman Islands,"  Replete with picturesque shimmering beaches, lagoons of turquoise blue waters and a bit of history, Andaman & Nicobar Islands is a little slice of paradise tucked around 1,400 km away from the east coast of India. The union territory comprises a total of 572 islands, only 37 of which are inhabited and a few are open to the tourists. Port Blair, the capital city of Andaman & Nicobar Islands, is the gateway to the archipelago and is connected with various islands via multiple daily ferries. Havelock and Neil Island are some of the most famous islands among tourists and is known for pearly white sands, palm-lined shores and offer some of the best snorkelling and diving options in India. Once known for its Cellular Jail- ‘Kaala Paani’ in Port Blair which primarily imprisoned the freedom fighters who were exiled from the mainland of India during the British Era, the graph of the Andaman and Nicobar islands have lately changed drastically and it is now known for its flourishing tourism industry which especially attracts honeymooners, families and adventure enthusiasts. You can either laze around on the sandy shores and enjoy the mesmerising sunsets or try your hand at scuba diving and explore the vibrant coral reefs. Besides, it also has virgin immaculate backwaters for those seeking solitude and ataraxy.Havelock Island is one of the largest and the most popular attraction of all of Andaman & Nicobar Islands. Blessed with pristine beaches and coconut groves, this one offers myriad adventure sports opportunities to its guests. From snorkelling to parasailing, scuba diving and kayaking etc., there is no dearth of thrilling activities here, for that much-needed adrenaline rush, on an otherwise tranquil leisure vacay. In addition to this, you can visit the bustling city of Port Blair to get a glimpse of the local lifestyle. Steeped in colonial history and boasting of striking architectural monuments, you can also browse the local markets and savour the traditional cuisine.",replete picturesque shimmer beach lagoons turquoise blue water bite history andaman nicobar islands little slice paradise tuck around 1 400 km away east coast india union territory comprise total 572 islands 37 inhabit open tourists port blair capital city andaman nicobar islands gateway archipelago connect various islands via multiple daily ferry havelock neil island famous islands among tourists know pearly white sand palm line shore offer best snorkelling dive options india know cellular jail kaala paani port blair primarily imprison freedom fighters exile mainland india british era graph andaman nicobar islands lately change drastically know flourish tourism industry especially attract honeymooners families adventure enthusiasts either laze around sandy shore enjoy mesmerise sunsets try hand scuba dive explore vibrant coral reef besides also virgin immaculate backwaters seek solitude ataraxy havelock island one largest popular attraction andaman nicobar islands bless pristine beach coconut groves one offer myriad adventure sport opportunities guests snorkelling parasailing scuba dive kayak etc dearth thrill activities much need adrenaline rush otherwise tranquil leisure vacay addition visit bustle city port blair get glimpse local lifestyle steep colonial history boast strike architectural monuments also browse local market savour traditional cuisine
